,Condition,genes,Method,replicate,Step,time_s,mem_gb
218,200,1000,TreePL+ConBL,10,Branch length estimation,319.28,6.679532
219,200,1000,TreePL+ConBL,10,Dating,1.86,0.025392
220,200,1000,TreePL+ConBL,11,Branch length estimation,135.46,3.429488
221,200,1000,TreePL+ConBL,11,Dating,4.81,0.026704
222,200,1000,TreePL+ConBL,12,Branch length estimation,264.28,6.364224
223,200,1000,TreePL+ConBL,12,Dating,2.39,0.027256
224,200,1000,TreePL+ConBL,13,Branch length estimation,184.75,4.561124
225,200,1000,TreePL+ConBL,13,Dating,2.39,0.024736
226,200,1000,TreePL+ConBL,14,Branch length estimation,506.81,8.885624
227,200,1000,TreePL+ConBL,14,Dating,2.48,0.02484
228,200,1000,TreePL+ConBL,15,Branch length estimation,403.53,8.202816
229,200,1000,TreePL+ConBL,15,Dating,2.32,0.02738
230,200,1000,TreePL+ConBL,16,Branch length estimation,343.03,7.770516
231,200,1000,TreePL+ConBL,16,Dating,2.53,0.026304
232,200,1000,TreePL+ConBL,17,Branch length estimation,314.9,7.507628
233,200,1000,TreePL+ConBL,17,Dating,3.26,0.024364
234,200,1000,TreePL+ConBL,18,Branch length estimation,236.99,5.931036
235,200,1000,TreePL+ConBL,18,Dating,1.9,0.025252
236,200,1000,TreePL+ConBL,19,Branch length estimation,369.71,7.994036
237,200,1000,TreePL+ConBL,19,Dating,2.03,0.026544
238,200,1000,TreePL+ConBL,20,Branch length estimation,572.83,9.321448
239,200,1000,TreePL+ConBL,20,Dating,2.04,0.026068
240,500,1000,TreePL+CASTLES-Pro,1,Branch length estimation,38.54,1.289992
241,500,1000,TreePL+CASTLES-Pro,1,Dating,11.77,0.026212
242,500,1000,TreePL+CASTLES-Pro,2,Branch length estimation,33.66,1.289856
243,500,1000,TreePL+CASTLES-Pro,2,Dating,11.54,0.026968
244,500,1000,TreePL+CASTLES-Pro,3,Branch length estimation,37.2,1.289968
245,500,1000,TreePL+CASTLES-Pro,3,Dating,8.56,0.026244
246,500,1000,TreePL+CASTLES-Pro,4,Branch length estimation,40.94,1.289928
247,500,1000,TreePL+CASTLES-Pro,4,Dating,5.06,0.025996
248,500,1000,TreePL+CASTLES-Pro,5,Branch length estimation,46.02,1.290048
249,500,1000,TreePL+CASTLES-Pro,5,Dating,11.96,0.026828
250,500,1000,TreePL+CASTLES-Pro,6,Branch length estimation,47.77,1.290316
251,500,1000,TreePL+CASTLES-Pro,6,Dating,3.76,0.027272
252,500,1000,TreePL+CASTLES-Pro,7,Branch length estimation,37.1,1.29006
253,500,1000,TreePL+CASTLES-Pro,7,Dating,12.18,0.026948
254,500,1000,TreePL+CASTLES-Pro,8,Branch length estimation,45.89,1.290116
255,500,1000,TreePL+CASTLES-Pro,8,Dating,11.55,0.02734
256,500,1000,TreePL+CASTLES-Pro,9,Branch length estimation,37.43,1.289984
257,500,1000,TreePL+CASTLES-Pro,9,Dating,5.37,0.026988
258,500,1000,TreePL+CASTLES-Pro,10,Branch length estimation,34.55,1.290204
259,500,1000,TreePL+CASTLES-Pro,10,Dating,10.17,0.026992
260,500,1000,TreePL+CASTLES-Pro,11,Branch length estimation,33.36,1.289972
261,500,1000,TreePL+CASTLES-Pro,11,Dating,6.73,0.027888
262,500,1000,TreePL+CASTLES-Pro,12,Branch length estimation,36.1,1.290024
263,500,1000,TreePL+CASTLES-Pro,12,Dating,14.14,0.026868
264,500,1000,TreePL+CASTLES-Pro,13,Branch length estimation,33.95,1.289984
265,500,1000,TreePL+CASTLES-Pro,13,Dating,8.16,0.027044
266,500,1000,TreePL+CASTLES-Pro,14,Branch length estimation,34.23,1.28992
267,500,1000,TreePL+CASTLES-Pro,14,Dating,8.37,0.026948
268,500,1000,TreePL+CASTLES-Pro,15,Branch length estimation,42.51,1.290068
269,500,1000,TreePL+CASTLES-Pro,15,Dating,8.9,0.0268
270,500,1000,TreePL+CASTLES-Pro,16,Branch length estimation,44.86,1.289836
271,500,1000,TreePL+CASTLES-Pro,16,Dating,9.03,0.02704
272,500,1000,TreePL+CASTLES-Pro,17,Branch length estimation,38.94,1.290316
273,500,1000,TreePL+CASTLES-Pro,17,Dating,3.89,0.026836
274,500,1000,TreePL+CASTLES-Pro,18,Branch length estimation,37.07,1.29002
275,500,1000,TreePL+CASTLES-Pro,18,Dating,9.5,0.027172
276,500,1000,TreePL+CASTLES-Pro,19,Branch length estimation,31.11,1.291876
277,500,1000,TreePL+CASTLES-Pro,19,Dating,10.71,0.027184
278,500,1000,TreePL+CASTLES-Pro,20,Branch length estimation,38.65,1.289944
279,500,1000,TreePL+CASTLES-Pro,20,Dating,7.01,0.026448
280,500,1000,TreePL+ConBL,1,Branch length estimation,1232.32,23.964532
281,500,1000,TreePL+ConBL,1,Dating,10.36,0.02718
282,500,1000,TreePL+ConBL,2,Branch length estimation,881.71,19.860712
283,500,1000,TreePL+ConBL,2,Dating,6.92,0.026668
284,500,1000,TreePL+ConBL,3,Branch length estimation,1452.86,23.864876
285,500,1000,TreePL+ConBL,3,Dating,6.73,0.02664
286,500,1000,TreePL+ConBL,4,Branch length estimation,1263.41,24.84978
287,500,1000,TreePL+ConBL,4,Dating,6.4,0.026528
288,500,1000,TreePL+ConBL,5,Branch length estimation,1301.86,22.059164
289,500,1000,TreePL+ConBL,5,Dating,11.0,0.027472
290,500,1000,TreePL+ConBL,6,Branch length estimation,992.12,18.580704
291,500,1000,TreePL+ConBL,6,Dating,4.32,0.028344
292,500,1000,TreePL+ConBL,7,Branch length estimation,1252.56,22.159344
293,500,1000,TreePL+ConBL,7,Dating,8.89,0.027456
294,500,1000,TreePL+ConBL,8,Branch length estimation,1569.76,24.622648
295,500,1000,TreePL+ConBL,8,Dating,6.53,0.02724
296,500,1000,TreePL+ConBL,9,Branch length estimation,5551.0,25.177544
297,500,1000,TreePL+ConBL,9,Dating,0.03,0.002132
298,500,1000,TreePL+ConBL,10,Branch length estimation,2397.25,26.098192
299,500,1000,TreePL+ConBL,10,Dating,13.07,0.02998
300,500,1000,TreePL+ConBL,11,Branch length estimation,1995.48,25.07968
301,500,1000,TreePL+ConBL,11,Dating,10.91,0.026912
302,500,1000,TreePL+ConBL,12,Branch length estimation,1135.44,22.419736
303,500,1000,TreePL+ConBL,12,Dating,8.68,0.026484
304,500,1000,TreePL+ConBL,13,Branch length estimation,1314.29,23.308068
305,500,1000,TreePL+ConBL,13,Dating,6.75,0.026764
306,500,1000,TreePL+ConBL,14,Branch length estimation,1021.72,22.682412
307,500,1000,TreePL+ConBL,14,Dating,7.8,0.0261
308,500,1000,TreePL+ConBL,15,Branch length estimation,1367.4,22.750432
309,500,1000,TreePL+ConBL,15,Dating,8.21,0.026144
310,500,1000,TreePL+ConBL,16,Branch length estimation,891.26,18.6148
311,500,1000,TreePL+ConBL,16,Dating,7.0,0.026308
312,500,1000,TreePL+ConBL,17,Branch length estimation,1768.87,24.915412
313,500,1000,TreePL+ConBL,17,Dating,4.05,0.029824
314,500,1000,TreePL+ConBL,18,Branch length estimation,2204.56,25.701048
315,500,1000,TreePL+ConBL,18,Dating,7.71,0.02856
316,500,1000,TreePL+ConBL,19,Branch length estimation,1743.59,24.816036
317,500,1000,TreePL+ConBL,19,Dating,6.09,0.027808
318,500,1000,TreePL+ConBL,20,Branch length estimation,1113.04,22.84832
319,500,1000,TreePL+ConBL,20,Dating,3.9,0.026988
320,1000,1000,TreePL+CASTLES-Pro,1,Branch length estimation,37.16,2.576708
321,1000,1000,TreePL+CASTLES-Pro,1,Dating,31.0,0.029164
322,1000,1000,TreePL+CASTLES-Pro,2,Branch length estimation,34.9,2.577204
323,1000,1000,TreePL+CASTLES-Pro,2,Dating,36.8,0.031024
324,1000,1000,TreePL+CASTLES-Pro,3,Branch length estimation,41.06,2.578696
325,1000,1000,TreePL+CASTLES-Pro,3,Dating,127.79,0.032288
326,1000,1000,TreePL+CASTLES-Pro,4,Branch length estimation,39.44,2.576896
327,1000,1000,TreePL+CASTLES-Pro,4,Dating,32.0,0.033968
328,1000,1000,TreePL+CASTLES-Pro,5,Branch length estimation,41.28,2.576164
329,1000,1000,TreePL+CASTLES-Pro,5,Dating,45.77,0.030848
330,1000,1000,TreePL+CASTLES-Pro,6,Branch length estimation,76.08,2.579528
331,1000,1000,TreePL+CASTLES-Pro,6,Dating,30.92,0.029684
