,Calibrations,Condition,Outgroup,Method,replicate,l-true,l-est
3715,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,16,0.3427390109426372,0.3883284924393787
3716,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,17,0.3866668356284448,0.40419099963582045
3717,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,18,0.3150376118886787,0.33465665438416176
3718,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,19,0.35603261018628246,0.36685280133610315
3719,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,20,0.3225437094287793,0.3590346245233775
3720,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,21,0.3391663891394145,0.3940847270268149
3721,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,22,0.35580059440000794,0.39072780104448485
3722,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,23,0.3194318472261913,0.33401328824415655
3723,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,24,0.34627840745129507,0.3441732149567916
3724,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,25,0.3328313319128605,0.3687218618377081
3725,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,26,0.37167960225799007,0.42575406982264147
3726,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,27,0.36230392753056206,0.4125158245704207
3727,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,28,0.41188955465763316,0.4230683515917735
3728,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,29,0.30238206806544227,0.32226302172545135
3729,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,30,0.34222553937965955,0.3449126033927017
3730,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,31,0.3339772345500268,0.38612035494049285
3731,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,32,0.25087266696571586,0.2735244772758284
3732,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,33,0.3303034735802588,0.36247547626791654
3733,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,34,0.38554020724164806,0.39271204059059805
3734,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,35,0.33167333730594734,0.36062539683372485
3735,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,36,0.34207352704337074,0.35092482282981363
3736,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,37,0.40675292375264355,0.42808418846671703
3737,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,38,0.3384161835035158,0.3403021767378433
3738,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,39,0.331620058770994,0.3561124009763616
3739,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,40,0.38045127465403455,0.40267241923339364
3740,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,41,0.340294864895315,0.4200731201229138
3741,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,42,0.33318720815816266,0.342687339665586
3742,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,43,0.39306219668129394,0.3742424973529471
3743,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,44,0.32916840630193334,0.3529143046728704
3744,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,45,0.3381068459372091,0.3300774858050174
