,Taxon,Node Type,l1,l2,l1/l2,Topology
1500,  ,internal,0.504,1.427,0.353188507,ASTRAL
1501,  ,internal,0.098,0.31,0.316129032,ASTRAL
1502,  ,internal,0.26,0.715,0.363636364,ASTRAL
1503,  ,internal,0.287,0.784,0.366071429,ASTRAL
1504,  ,internal,0.06,0.479,0.12526096,ASTRAL
1505,  ,internal,0.258,0.578,0.446366782,ASTRAL
1506,  ,internal,0.363,0.859,0.4225844,ASTRAL
1507,  ,internal,0.543,0.869,0.624856157,ASTRAL
1508,  ,internal,0.614,1.391,0.441409058,ASTRAL
1509,  ,internal,0.757,1.749,0.432818754,ASTRAL
1510,  ,internal,0.481,1.311,0.3668955,ASTRAL
1511,  ,internal,0.311,1.021,0.30460333,ASTRAL
1512,  ,internal,0.336,1.166,0.288164666,ASTRAL
1513,  ,internal,0.541,1.412,0.383144476,ASTRAL
1514,  ,internal,0.362,1.371,0.264040846,ASTRAL
1515,  ,internal,0.384,1.477,0.259986459,ASTRAL
1516,  ,internal,0.212,0.158,1.341772152,ASTRAL
1517,  ,internal,0.027,0.234,0.115384615,ASTRAL
1518,  ,internal,0.005,0.114,0.043859649,ASTRAL
1519,  ,internal,0.079,0.329,0.240121581,ASTRAL
1520,  ,internal,0.106,0.442,0.239819005,ASTRAL
1521,  ,internal,0.17,0.488,0.348360656,ASTRAL
1522,  ,internal,0.237,0.515,0.460194175,ASTRAL
1523,  ,internal,0.058,0.183,0.316939891,ASTRAL
1524,  ,internal,0.148,0.199,0.743718593,ASTRAL
1525,  ,internal,0.221,0.227,0.973568282,ASTRAL
1526,  ,internal,0.058,0.363,0.159779614,ASTRAL
1527,  ,internal,0.247,0.402,0.614427861,ASTRAL
1528,  ,internal,0.268,0.614,0.436482085,ASTRAL
1529,  ,internal,0.374,0.647,0.57805255,ASTRAL
1530,  ,internal,0.129,0.631,0.204437401,ASTRAL
1531,  ,internal,0.311,0.696,0.44683908,ASTRAL
1532,  ,internal,0.071,0.211,0.336492891,ASTRAL
1533,  ,internal,0.112,0.343,0.326530612,ASTRAL
1534,  ,internal,0.104,0.33,0.315151515,ASTRAL
1535,  ,internal,0.134,0.384,0.348958333,ASTRAL
1536,  ,internal,0.218,0.423,0.51536643,ASTRAL
1537,  ,internal,0.232,0.6,0.386666667,ASTRAL
1538,  ,internal,0.093,0.312,0.298076923,ASTRAL
1539,  ,internal,0.042,0.406,0.103448276,ASTRAL
1540,  ,internal,0.204,0.514,0.39688716,ASTRAL
1541,  ,internal,0.073,0.311,0.234726688,ASTRAL
1542,  ,internal,0.213,0.582,0.365979381,ASTRAL
1543,  ,internal,0.248,0.655,0.378625954,ASTRAL
1544,  ,internal,0.195,0.502,0.388446215,ASTRAL
1545,  ,internal,0.299,0.807,0.370508055,ASTRAL
1546,  ,internal,0.065,0.326,0.199386503,ASTRAL
1547,  ,internal,0.144,0.544,0.264705882,ASTRAL
1548,  ,internal,0.169,0.559,0.302325581,ASTRAL
1549,  ,internal,0.228,0.713,0.319775596,ASTRAL
1550,  ,internal,0.019,0.289,0.065743945,ASTRAL
1551,  ,internal,0.155,0.59,0.262711864,ASTRAL
1552,  ,internal,0.205,0.79,0.259493671,ASTRAL
1553,  ,internal,0.263,0.982,0.267820774,ASTRAL
1554,  ,internal,0.293,1.054,0.277988615,ASTRAL
1555,  ,internal,0.33,1.28,0.2578125,ASTRAL
1556,  ,internal,0.371,1.306,0.284073507,ASTRAL
1557,  ,internal,0.088,0.363,0.242424242,ASTRAL
1558,  ,internal,0.096,0.398,0.24120603,ASTRAL
1559,  ,internal,0.041,0.41,0.1,ASTRAL
1560,  ,internal,0.163,0.497,0.327967807,ASTRAL
1561,  ,internal,0.25,0.558,0.448028674,ASTRAL
1562,  ,internal,0.388,1.539,0.252111761,ASTRAL
1563,  ,internal,0.018,0.019,0.947368421,ASTRAL
1564,  ,internal,0.031,0.029,1.068965517,ASTRAL
1565,  ,internal,0.033,0.047,0.70212766,ASTRAL
1566,  ,internal,0.047,0.052,0.903846154,ASTRAL
1567,  ,internal,0.023,0.063,0.365079365,ASTRAL
1568,  ,internal,0.05,0.072,0.694444444,ASTRAL
1569,  ,internal,0.06,0.084,0.714285714,ASTRAL
1570,  ,internal,0.012,0.04,0.3,ASTRAL
1571,  ,internal,0.035,0.055,0.636363636,ASTRAL
1572,  ,internal,0.036,0.07,0.514285714,ASTRAL
1573,  ,internal,0.042,0.078,0.538461538,ASTRAL
1574,  ,internal,0.013,0.07,0.185714286,ASTRAL
1575,  ,internal,0.051,0.091,0.56043956,ASTRAL
1576,  ,internal,0.062,0.094,0.659574468,ASTRAL
1577,  ,internal,0.071,0.105,0.676190476,ASTRAL
1578,  ,internal,0.017,0.086,0.197674419,ASTRAL
1579,  ,internal,0.079,0.132,0.598484848,ASTRAL
1580,  ,internal,0.092,0.138,0.666666667,ASTRAL
1581,  ,internal,0.103,0.159,0.647798742,ASTRAL
1582,  ,internal,0.13,0.163,0.797546012,ASTRAL
1583,  ,internal,0.039,0.16,0.24375,ASTRAL
1584,  ,internal,0.105,0.182,0.576923077,ASTRAL
1585,  ,internal,0.119,0.205,0.580487805,ASTRAL
1586,  ,internal,0.14,0.232,0.603448276,ASTRAL
1587,  ,internal,0.119,0.233,0.510729614,ASTRAL
1588,  ,internal,0.169,0.322,0.52484472,ASTRAL
1589,  ,internal,0.178,0.39,0.456410256,ASTRAL
1590,  ,internal,0.254,0.532,0.477443609,ASTRAL
1591,  ,internal,0.272,0.856,0.317757009,ASTRAL
1592,  ,internal,0.331,1.041,0.317963497,ASTRAL
1593,  ,internal,0.054,0.584,0.092465753,ASTRAL
1594,  ,internal,0.372,1.485,0.250505051,ASTRAL
1595,  ,internal,0.054,0.547,0.098720293,ASTRAL
1596,  ,internal,0.2,0.678,0.294985251,ASTRAL
1597,  ,internal,0.156,0.559,0.279069767,ASTRAL
1598,  ,internal,0.286,1.136,0.251760563,ASTRAL
1599,  ,internal,0.101,0.446,0.226457399,ASTRAL
1600,  ,internal,0.045,0.102,0.441176471,ASTRAL
1601,  ,internal,0.124,0.159,0.779874214,ASTRAL
