,Taxon,Branch Type,l1,l2,l1/l2,Method
50,  ,internal,1.819551,1.776988,1.023952328,TreePL
51,Spizella passerina,terminal,9.215855,9.580988,0.961889839,TreePL
52,  ,internal,2.154145,1.789012,1.204097569,TreePL
53,  ,internal,3.838638,3.942312,0.973702234,TreePL
54,Cardinalis cardinalis,terminal,9.997799,9.940647,1.005749324,TreePL
55,Passerina amoena,terminal,9.997799,9.940647,1.005749324,TreePL
56,  ,internal,0.207668,0.571111,0.363621082,TreePL
57,Pheucticus melanocephalus,terminal,10.205467,10.511758,0.970862058,TreePL
58,  ,internal,3.142257,2.979599,1.054590567,TreePL
59,Geospiza fortis,terminal,10.247487,11.036415,0.928515918,TreePL
60,Sporophila hypoxantha,terminal,10.247487,11.036415,0.928515918,TreePL
61,  ,internal,1.143716,0.84721,1.349979344,TreePL
62,Nesospiza acunhae,terminal,11.391203,11.883625,0.958562981,TreePL
63,  ,internal,1.956521,1.607732,1.21694474,TreePL
64,  ,internal,1.860914,1.820955,1.02194398,TreePL
65,  ,internal,0.721451,0.771693,0.934893798,TreePL
66,Calcarius ornatus,terminal,15.394695,15.230662,1.010769919,TreePL
67,Emberiza fucata,terminal,15.394695,15.230662,1.010769919,TreePL
68,  ,internal,0.535395,0.853343,0.627408908,TreePL
69,  ,internal,0.744806,0.726724,1.024881523,TreePL
70,Rhodinocichla rosea,terminal,16.674895,16.810729,0.991919803,TreePL
71,  ,internal,2.194154,2.489151,0.881486901,TreePL
72,Loxia curvirostra,terminal,1.742215,2.087172,0.834725169,TreePL
73,Loxia leucoptera,terminal,1.742215,2.087172,0.834725169,TreePL
74,  ,internal,4.687185,4.890905,0.958347177,TreePL
75,Serinus canaria,terminal,6.429401,6.978077,0.921371461,TreePL
76,  ,internal,5.233779,4.804961,1.089244845,TreePL
77,Chlorodrepanis virens,terminal,1.386897,2.268636,0.611335181,TreePL
78,Hemignathus wilsoni,terminal,1.386897,2.268636,0.611335181,TreePL
79,  ,internal,10.276282,9.514402,1.080076499,TreePL
80,  ,internal,7.20587,7.516842,0.958629967,TreePL
81,  ,internal,1.575041,1.266096,1.244013882,TreePL
