taxa	code	order	family	clade_mag7 	number_mag7	color_mag7	color_mag7_hex
Manacus_manacus	MANMAN	Passeriformes	Pipridae	Telluraves	1	green	#32A287
Melanocharis_versteri	MELVER	Passeriformes	Melanocharitidae	Telluraves	1	green	#32A287
Meleagris_gallopavo	MELGAL	Galliformes	Phasianidae	Galloanseres	NA	black	#7D0D14
Melopsittacus_undulatus	MELUND	Psittaciformes	Psittaculidae	Telluraves	1	green	#32A287
Melospiza_melodia	MELMEL	Passeriformes	Passerellidae	Telluraves	1	green	#32A287
Menura_novaehollandiae	MENNOV	Passeriformes	Menuridae	Telluraves	1	green	#32A287
Merops_nubicus	MERNUB	Coraciiformes	Meropidae	Telluraves	1	green	#32A287
Mesembrinibis_cayennensis	MESCAY	Pelecaniformes	Threskiornithidae	Aequornithes	2	darkblue	#1F7A8C
Mesitornis_unicolor	MESUNI	Mesitornithiformes	Mesitornithidae	Columbimorphae	6	purple	#F3722C
Mionectes_macconnelli	MIOMAC	Passeriformes	Pipromorphidae	Telluraves	1	green	#32A287
Mohoua_ochrocephala	MOHOCH	Passeriformes	Mohouidae	Telluraves	1	green	#32A287
Molothrus_ater	MOLATE	Passeriformes	Icteridae	Telluraves	1	green	#32A287
Motacilla_alba	MOTALB	Passeriformes	Motacillidae	Telluraves	1	green	#32A287
Myiagra_hebetior	MYIHEB	Passeriformes	Monarchidae	Telluraves	1	green	#32A287
Mystacornis_crossleyi	MYSCRO	Passeriformes	Vangidae	Telluraves	1	green	#32A287
Neodrepanis_coruscans	NEOCOR	Passeriformes	Philepittidae	Telluraves	1	green	#32A287
Neopipo_cinnamomea	NEOCIN	Passeriformes	Platyrinchidae	Telluraves	1	green	#32A287
Nesospiza_acunhae	NESACU	Passeriformes	Thraupidae	Telluraves	1	green	#32A287
Nestor_notabilis	NESNOT	Psittaciformes	Strigopidae	Telluraves	1	green	#32A287
Nicator_chloris	NICCHL	Passeriformes	Nicatoridae	Telluraves	1	green	#32A287
Nipponia_nippon	NIPNIP	Pelecaniformes	Threskiornithidae	Aequornithes	2	darkblue	#1F7A8C
Nothocercus_julius	NOTJUL	Tinamiformes	Tinamidae	Palaeognathae	NA	black	#570407
Nothocercus_nigrocapillus	NOTNIG	Tinamiformes	Tinamidae	Palaeognathae	NA	black	#570407
Nothoprocta_ornata	NOTORN	Tinamiformes	Tinamidae	Palaeognathae	NA	black	#570407
Nothoprocta_pentlandii	NOTPEN	Tinamiformes	Tinamidae	Palaeognathae	NA	black	#570407
Nothoprocta_perdicaria	NOTPER	Tinamiformes	Tinamidae	Palaeognathae	NA	black	#570407
Notiomystis_cincta	NOTCIN	Passeriformes	Notiomystidae	Telluraves	1	green	#32A287
Numida_meleagris	NUMMEL	Galliformes	Numididae	Galloanseres	NA	black	#7D0D14
Nyctibius_bracteatus	NYCBRA	Strisores	Nyctibiidae	Strisores	8	brown	#C4D6B0
Nyctibius_grandis	NYCGRA	Strisores	Nyctibiidae	Strisores	8	brown	#C4D6B0
Nycticryphes_semicollaris	NYCSEM	Charadriiformes	Rostratulidae	Cursorimorphae	4	yellow	#E4D6A0
Nyctiprogne_leucopyga	NYCLEU	Strisores	Caprimulgidae	Strisores	8	brown	#C4D6B0
Oceanites_oceanicus	OCEOCE	Procellariiformes	Oceanitidae	Aequornithes	2	darkblue	#1F7A8C
Odontophorus_gujanensis	ODOGUJ	Galliformes	Odontophoridae	Galloanseres	NA	black	#7D0D14
Oenanthe_oenanthe	OENOEN	Passeriformes	Muscicapidae	Telluraves	1	green	#32A287
