,Taxon,Branch Type,l1,l2,l1/l2,Method
685,Phoenicopterus ruber,terminal,36.28,36.28,1,wLogDate
686,  ,internal,36.19859938,34.93709632,1.036107839,wLogDate
687,  ,internal,17.02951052,16.23085724,1.049205859,wLogDate
688,Anas platyrhynchos,terminal,0.784888658,1.743138377,0.450273294,wLogDate
689,Anas zonorhyncha,terminal,0.784888658,1.743138377,0.450273294,wLogDate
690,  ,internal,5.55000772,5.378049705,1.031974047,wLogDate
691,Asarcornis scutulata,terminal,6.334896378,7.121188082,0.889584197,wLogDate
692,  ,internal,1.225315176,1.291200338,0.948973711,wLogDate
693,Cairina moschata,terminal,7.560211554,8.412388419,0.898699772,wLogDate
694,  ,internal,20.34978845,19.49761158,1.043706731,wLogDate
695,Anser cygnoid,terminal,27.91,27.91,1,wLogDate
696,  ,internal,28.87047836,26.93173437,1.071987343,wLogDate
697,Anseranas semipalmata,terminal,56.78047836,54.84173437,1.035351617,wLogDate
698,  ,internal,4.982333428,5.277113393,0.944139922,wLogDate
699,Chauna torquata,terminal,61.76281178,60.11884776,1.027345235,wLogDate
700,  ,internal,5.977188216,7.621152242,0.784289308,wLogDate
701,Alectura lathami,terminal,56.49805983,57.38854084,0.984483296,wLogDate
702,Penelope pileata,terminal,51.26325215,52.27375195,0.980669078,wLogDate
703,Numida meleagris,terminal,37.8946066,35.45470943,1.068817294,wLogDate
704,Meleagris gallopavo,terminal,16.74224519,15.20751404,1.100919265,wLogDate
705,Tympanuchus cupido,terminal,16.74224519,15.20751404,1.100919265,wLogDate
706,  ,internal,1.731093628,1.717596664,1.007858052,wLogDate
707,Phasianus colchicus,terminal,18.47333881,16.92511071,1.091475213,wLogDate
708,  ,internal,9.262721275,8.909784842,1.039612228,wLogDate
709,Gallus gallus,terminal,26.10981304,24.20500913,1.078694616,wLogDate
710,Coturnix japonica,terminal,26.10981304,24.20500913,1.078694616,wLogDate
711,  ,internal,1.626247051,1.629886416,0.997767105,wLogDate
712,  ,internal,8.169210146,7.666785948,1.065532571,wLogDate
713,Odontophorus gujanensis,terminal,15.54463699,14.77432666,1.052138439,wLogDate
714,Colinus virginianus,terminal,6.569748123,6.050352456,1.085845522,wLogDate
715,Callipepla squamata,terminal,6.569748123,6.050352456,1.085845522,wLogDate
716,  ,internal,8.974888865,8.7239742,1.028761509,wLogDate
717,  ,internal,20.36063325,18.72735484,1.087213513,wLogDate
718,  ,internal,1.989336369,1.953027934,1.018590843,wLogDate
719,  ,internal,13.36864555,16.81904252,0.79485176,wLogDate
720,  ,internal,5.23480768,5.114788887,1.023465053,wLogDate
721,  ,internal,11.24194017,10.35145916,1.086024684,wLogDate
722,  ,internal,21.7681099,19.70795357,1.10453426,wLogDate
