,Taxon,Node Type,l1,l2,l1/l2,Method
306,  ,internal,49.82,50.994,0.976977684,MD-Cat
307,  ,internal,60.026,57.922,1.036324713,MD-Cat
308,  ,internal,9.478,9.71,0.976107106,MD-Cat
309,  ,internal,19.944,14.379,1.387022741,MD-Cat
310,  ,internal,32.5,52.864,0.614785109,MD-Cat
311,  ,internal,12.759,16.2,0.787592593,MD-Cat
312,  ,internal,43.419,41.851,1.037466249,MD-Cat
313,  ,internal,60.76,60.76,1,MD-Cat
314,  ,internal,67.406,67.026,1.005669442,MD-Cat
315,  ,internal,68.089,67.688,1.005924241,MD-Cat
316,  ,internal,68.703,68.129,1.008425193,MD-Cat
317,  ,internal,68.743,68.547,1.002859352,MD-Cat
318,  ,internal,18.583,21.497,0.864446202,MD-Cat
319,  ,internal,27.427,28.972,0.946672649,MD-Cat
320,  ,internal,4.687,7.67,0.611082138,MD-Cat
321,  ,internal,44.515,37.11,1.199541902,MD-Cat
322,  ,internal,44.841,39.102,1.146769986,MD-Cat
323,  ,internal,53.087,50.661,1.047886935,MD-Cat
324,  ,internal,13.822,16.281,0.848965051,MD-Cat
325,  ,internal,16.595,18.472,0.898386748,MD-Cat
326,  ,internal,56.521,54.303,1.040844889,MD-Cat
327,  ,internal,18.644,15.034,1.240122389,MD-Cat
328,  ,internal,25.165,53.05,0.474363808,MD-Cat
329,  ,internal,56.68,56.68,1,MD-Cat
330,  ,internal,15.372,14.001,1.097921577,MD-Cat
331,  ,internal,21.84,23.435,0.931939407,MD-Cat
332,  ,internal,21.435,23.102,0.927841745,MD-Cat
333,  ,internal,22.554,24.114,0.93530729,MD-Cat
334,  ,internal,13.694,15.03,0.911111111,MD-Cat
335,  ,internal,15.252,16.524,0.92302106,MD-Cat
336,  ,internal,57.177,57.723,0.990541032,MD-Cat
337,  ,internal,57.731,59.832,0.964885011,MD-Cat
338,  ,internal,57.997,63.321,0.915920469,MD-Cat
339,  ,internal,68.881,68.661,1.003204148,MD-Cat
340,  ,internal,11.775,10.221,1.152039918,MD-Cat
341,  ,internal,36.28,36.28,1,MD-Cat
342,  ,internal,69.028,68.831,1.002862082,MD-Cat
343,  ,internal,0.84,1.771,0.4743083,MD-Cat
344,  ,internal,6.214,6.925,0.89732852,MD-Cat
345,  ,internal,7.478,8.149,0.917658608,MD-Cat
346,  ,internal,27.91,27.91,1,MD-Cat
347,  ,internal,45.727,46.319,0.987219068,MD-Cat
348,  ,internal,52.6,50.99,1.031574819,MD-Cat
349,  ,internal,13.277,17.076,0.77752401,MD-Cat
350,  ,internal,15.273,18.353,0.832180025,MD-Cat
351,  ,internal,24.062,23.044,1.044176358,MD-Cat
352,  ,internal,26.033,25.102,1.037088678,MD-Cat
353,  ,internal,8.411,7.379,1.139856349,MD-Cat
354,  ,internal,15.268,14.767,1.033926999,MD-Cat
355,  ,internal,32.398,31.977,1.013165713,MD-Cat
356,  ,internal,32.798,33.709,0.972974577,MD-Cat
357,  ,internal,54.21,52.977,1.023274251,MD-Cat
358,  ,internal,65.248,57.628,1.132227389,MD-Cat
359,  ,internal,67.74,67.74,1,MD-Cat
360,  ,internal,96.273,82.688,1.164292279,MD-Cat
361,  ,internal,127.281,103.06,1.235018436,MD-Cat
0,  ,internal,4.534,4.225,1.073136095,wLogDate
1,  ,internal,8.891,11.323,0.785215932,wLogDate
2,  ,internal,24.1,24.1,1,wLogDate
3,  ,internal,7.891,9.723,0.811580788,wLogDate
4,  ,internal,27.81,27.747,1.002270516,wLogDate
5,  ,internal,0.752,0.739,1.01759134,wLogDate
